名称,住所
ウイズネットホームヘルプサービス奈良町,埼玉県さいたま市北区奈良町39-4-106
パーソナルケア　さいたま,埼玉県さいたま市北区本郷町112白石ビル2階
あけぼし訪問介護事業所,埼玉県さいたま市北区吉野町1-3-1茂木ビル２Ｆ
さいたま市社協ヘルパーステーションおおみや,埼玉県さいたま市北区日進町2-1864-10
あかねケアサービス,埼玉県さいたま市北区宮原町2-78-26　ハイツページ1
学研ココファンしらかばヘルパーセンター,埼玉県さいたま市北区吉野町2-210-1
ひばり訪問介護ステーション大宮公園,埼玉県さいたま市北区盆栽町４３４ガーデンテラス大宮公園１階
エスケアステーションさいたま北　訪問介護,埼玉県さいたま市北区奈良町33-31ピュアレジデンス103号室
コープみらい大宮介護センター,埼玉県さいたま市北区櫛引町2-431-2ミニコープ櫛引町店2階
ヘルパーステーションあさひ土呂,埼玉県さいたま市北区土呂町2-16-11-102
訪問介護North大宮,埼玉県さいたま市北区土呂町二丁目２３番８号
やさしい手宮原巡回訪問介護事業所,埼玉県さいたま市北区宮原町１－６９７－２
奈良町訪問介護,埼玉県さいたま市北区奈良町１６６－１アーバンコーポ奈良２０３
ラウンド＆ケアヘルパーステーション中央,埼玉県さいたま市北区東大成町2-85岸ビル101
アサヒサンクリーン在宅介護センター大宮,埼玉県さいたま市北区東大成町1-377
はみんぐ訪問看護ステーション大宮北,埼玉県さいたま市北区本郷町１５７－１－１０４
さいたま市社協訪問看護ステーションおおみや,埼玉県さいたま市北区日進町2-1864-10
独立行政法人地域医療機能推進機構さいたま北部医療センター附属訪問看護ステーション,埼玉県さいたま市北区盆栽町453
コンパス訪問看護リハビリステーション,埼玉県さいたま市北区植竹町1-670
コスモ訪問看護リハビリステーション　さいたま北,埼玉県さいたま市北区宮原町2-129-25
訪問看護あさひ土呂,埼玉県さいたま市北区土呂町2-16-11-102
訪問看護ステーションりすたーと,埼玉県さいたま市北区東大成町一丁目353番地3
訪問看護ふくしのまち大宮,埼玉県さいたま市北区櫛引町2-271-1川善ビル2-A
訪問看護リハビリステーション　りくらす,埼玉県さいたま市北区日進町１－５０８－９サンシャインシティ-１０１号
ラウンド＆ケア訪問看護ステーション中央,埼玉県さいたま市北区東大成町2-85岸ビル101
介護老人保健施設　みやびの里,埼玉県さいたま市北区別所町９２０
デイサービスセンター遊・宮原,埼玉県さいたま市北区宮原町１－５３０
でいとれセンター　ひばり,埼玉県さいたま市北区日進町２－４９５
ツクイさいたま大宮公園,埼玉県さいたま市北区盆栽町１６１－１
社会福祉法人　大吉会　デイサービスセンター白樺ホーム,埼玉県さいたま市北区吉野町２－１３３１
リハ倶楽部　おあしす,埼玉県さいたま市北区吉野町１－４００－１０
活々道場　ひばり日進,埼玉県さいたま市北区日進町２－４９８－２
ゆめの園　りふれ宮原,埼玉県さいたま市北区宮原町1-478
大宮明生苑デイサービスセンター,埼玉県さいたま市北区櫛引町二丁目３２７
デイサービスココファンしらかば,埼玉県さいたま市北区吉野町2-210-1
アースサポート日進,埼玉県さいたま市北区日進町2-1203-12
エスケアステーションさいたま北　デイサービス,埼玉県さいたま市北区宮原町四丁目99番1号
ゆめの園　りふれ奈良,埼玉県さいたま市北区奈良町54-1SGKマンションパピオール1F
ヒューマンサポート宮原デイサービスセンター,埼玉県さいたま市北区吉野町1-353-4
でいとれセンター　ひばり　本郷町,埼玉県さいたま市北区本郷町525
かがやきデイサービス大宮日進,埼玉県さいたま市北区日進町2丁目1851番地1
デイサービスセンターエクラシア大宮,埼玉県さいたま市北区大成町４丁目83-5
デイサービス　いいらいふ,埼玉県さいたま市北区吉野町2-281-5
健康サポートげんき　さいたま土呂,埼玉県さいたま市北区土呂町一丁目６３番地４号
リセイルデイサービス盆栽町,埼玉県さいたま市北区盆栽町168レフィーニ大宮盆栽町1階
介護老人保健施設　ボヌール,埼玉県さいたま市北区吉野町２－１３６５
介護老人保健施設　ハートランド大宮,埼玉県さいたま市北区奈良町120-2
ショートステイみんなの家　大宮吉野町,埼玉県さいたま市北区吉野町１－３５６－１
特別養護老人ホーム　なごみの里,埼玉県さいたま市北区別所町８９２
社会福祉法人　大吉会　ショートステイ白樺ホーム,埼玉県さいたま市北区吉野町２－１３３１
ショートステイ　今羽の森,埼玉県さいたま市北区今羽町650-1
ウエルガーデン大宮,埼玉県さいたま市北区今羽町660-1
ショートステイココファンしらかば,埼玉県さいたま市北区吉野町2-210-1
エスケアステーションさいたま北　ショートステイ,埼玉県さいたま市北区宮原町四丁目99番地1号
ライフコミューン大宮北,埼玉県さいたま市北区別所町１６－３
悠楽里　おおみや,埼玉県さいたま市北区宮原町１丁目４６番１号
有料老人ホーム　サニーライフ埼玉,埼玉県さいたま市北区宮原町２－１２４－７
介護付有料老人ホーム　すこや家・大宮日進,埼玉県さいたま市北区日進町１－１９８－４
ニチイホーム大宮,埼玉県さいたま市北区日進町2-1334
ル・レーヴ大宮北,埼玉県さいたま市北区吉野町1-37-5
大宮明生苑,埼玉県さいたま市北区櫛引町2-327
ボンセジュール大宮,埼玉県さいたま市北区大成町4-210
介護付有料老人ホーム　みんなの家・大宮吉野町,埼玉県さいたま市北区吉野町２丁目214-3
介護付有料老人ホーム　みんなの家・大宮櫛引,埼玉県さいたま市北区櫛引町２丁目１３７番１
アンサンブル大宮日進,埼玉県さいたま市北区日進町2-1914-1
介護付有料老人ホーム　みんなの家・土呂栄光荘,埼玉県さいたま市北区土呂町1520-1
ラ・ナシカ　さいたま,埼玉県さいたま市北区奈良町22番9号
ニチイホーム　大宮公園,埼玉県さいたま市北区植竹町1丁目69番地
ベストライフ大宮北,埼玉県さいたま市北区吉野町一丁目45-10
トミオさいたま桜テラス,埼玉県さいたま市北区本郷町４６０
応援家族大宮,埼玉県さいたま市北区日進町3-590
リアンレーヴ大宮,埼玉県さいたま市北区植竹町1-766-1
株式会社  リンクス,埼玉県さいたま市北区別所町２５５－２
介護用品の店 ヘルシーランド たんとん,埼玉県さいたま市北区土呂町２－１２－１８　中橋ビル1階
介護ショップ　ほっとらいふ,埼玉県さいたま市北区別所町53-1
株式会社　トーカイ　さいたま支店,埼玉県さいたま市北区宮原町２－８５－１
フランスベッド株式会社　メディカル東関東営業所,埼玉県さいたま市北区別所町1122-2
福祉用具ココファンしらかば,埼玉県さいたま市北区吉野町2-210-1
レンタルふくしのまちさいたま,埼玉県さいたま市北区櫛引町2-271-1川善ビル2-A
介護ショップふくたろー,埼玉県さいたま市北区宮原町3-294第1島村ビル101
株式会社　ミタカ　埼玉営業所,埼玉県さいたま市北区吉野町1-2-2
いいらいふレンタルサービス,埼玉県さいたま市北区吉野町2-214-3
株式会社福山興産　ライフケア事業部,埼玉県さいたま市北区土呂町1-12-4
医療法人ヘブロン会　大宮中央総合病院,埼玉県さいたま市北区東大成町１－２２７
ケアプラン　ひばり,埼玉県さいたま市北区日進町2-495
居宅介護支援事業所  たんとん,埼玉県さいたま市北区土呂町２－１２－１８中橋ビル２０２号
あすなろケアサービス大宮,埼玉県さいたま市北区本郷町４５０－３  エクセレントＵＭ１０２
居宅介護支援　まりも,埼玉県さいたま市北区日進町３－４８８－３　スカイハイム１０２
指定居宅介護支援事業所　みやびの里,埼玉県さいたま市北区別所町９２０
ケアプランそらいろ,埼玉県さいたま市北区植竹町１－３３０－２　
東電さわやかケアにっしん・居宅介護支援,埼玉県さいたま市北区宮原町3-176-2
介護プラン　すずのき大宮,埼玉県さいたま市北区東大成町2-263北原ビル2F-B
指定居宅介護支援事業所　白樺ホーム,埼玉県さいたま市北区吉野町２－１３３１
宮原ゆめの園居宅介護支援センター,埼玉県さいたま市北区奈良町54-1SGKマンションパピオール1階
あけぼし居宅介護支援事業所,埼玉県さいたま市北区吉野町1-3-1茂木ビル2F
ケアプランセンター　今羽の森,埼玉県さいたま市北区今羽町650-1
さいたま市社協ケアプランおおみや,埼玉県さいたま市北区日進町2-1864-10
居宅介護支援センター　ハートランド大宮,埼玉県さいたま市北区奈良町120-2
居宅介護支援事業所　来楽大宮,埼玉県さいたま市北区植竹町1-539-101
にっしんけあぷらん,埼玉県さいたま市北区日進町1丁目600番地
学研ココファンしらかば,埼玉県さいたま市北区吉野町2-210-1
独立行政法人地域医療機能推進機構さいたま北部医療センター附属居宅介護支援センター,埼玉県さいたま市北区盆栽町453
エスケアステーションさいたま北　居宅介護支援,埼玉県さいたま市北区奈良町33-31ピュアレジデンス103号室
奈良町居宅介護支援事業所,埼玉県さいたま市北区奈良町166-1203
コープみらい大宮介護センター,埼玉県さいたま市北区櫛引町2-431-2ミニコープ櫛引店2階
いい・らいふ吉野町,埼玉県さいたま市北区吉野町2-281-5
ケアプランセンター晴れ時計,埼玉県さいたま市北区大成町4-231-4サンホーム大成102
居宅介護支援事業所　りくらす,埼玉県さいたま市北区日進町１－５０８－９サンシャインシティ－１０１号
居宅介護支援　Ｎorth大宮,埼玉県さいたま市北区土呂町二丁目２３番８号
あさがお宮原,埼玉県さいたま市北区宮原町１－５３０
コンパス介護プラン,埼玉県さいたま市北区植竹町１－６７０
居宅介護支援事業所　リセイル盆栽町,埼玉県さいたま市北区盆栽町168レフィーニ大宮盆栽町203号室
ラウンド＆ケア居宅介護支援事業所中央,埼玉県さいたま市北区東大成町2-85岸ビル101
介護老人福祉施設　白樺ホーム,埼玉県さいたま市北区吉野町２－１３３１
特別養護老人ホーム　今羽の森,埼玉県さいたま市北区今羽町650-1
有限会社　住吉工務店　介護ショップ　ほっとらいふ,埼玉県さいたま市北区別所町53-1
マルカミ藤倉株式会社,埼玉県さいたま市北区吉野町1-396
ニチイケアセンター　大宮,埼玉県さいたま市大宮区東町２－２９０　島村ビル１階
有限会社ライフサービス細井紹介所,埼玉県さいたま市大宮区仲町３－１３８
ニチイケアセンター大宮桜木町,埼玉県さいたま市大宮区桜木町４－５２８
株式会社やさしい手　大宮訪問介護事業所,埼玉県さいたま市大宮区宮町2-56-2宮崎ビル3階
ふくしのまち与野,埼玉県さいたま市大宮区北袋町２－３９７－２
介護サービスセンター  ハイム,埼玉県さいたま市大宮区桜木町４－７６０
ひなたぼっこ,埼玉県さいたま市大宮区東町2-251
テルウェル東日本　さいたま介護センタ,埼玉県さいたま市大宮区吉敷町１－１３３－１　ワンライトビル２階
サンライフ介護サービス,埼玉県さいたま市大宮区大成町２－４３－１
けあビジョン大宮,埼玉県さいたま市大宮区大成町３－４５５－１リーベルオーヌキ１０２
キウイバード,埼玉県さいたま市大宮区大成町２丁目２００番地
訪問介護　春陽苑,埼玉県さいたま市大宮区大成町2-397-3
アールスタッフ大宮中央ケアサービス,埼玉県さいたま市大宮区桜木町1-12-5沢田ビル４F
あまみケアステーション,埼玉県さいたま市大宮区三橋4-77-14ジュネスベルＣ棟101号室
愛ステップ大宮,埼玉県さいたま市大宮区桜木町4-708渋谷ビル2階
アースサポート大宮,埼玉県さいたま市大宮区吉敷町1丁目56番地1
社会福祉法人　育成会　白菊苑,埼玉県さいたま市大宮区天沼町1-324-2-101
彩訪問介護サービス,埼玉県さいたま市大宮区吉敷町二丁目89番地2
コンパス訪問介護,埼玉県さいたま市大宮区桜木町４－７８３－４
亀春ヘルパーステーション,埼玉県さいたま市大宮区三橋4-333-1
ＳＯＭＰＯケア　さいたま大宮西　訪問介護,埼玉県さいたま市大宮区桜木町4-702-1秀宝ビル4階
ＳＯＭＰＯケア　さいたま大宮東　訪問介護,埼玉県さいたま市大宮区天沼町1-56-2ワールドビル2Ｆ
ニチイケアセンター大宮,埼玉県さいたま市大宮区東町２－２９０　島村ビル１階
医療法人明浩会　訪問看護ステーションタッチ,埼玉県さいたま市大宮区三橋１丁目１１８２番地
訪問看護ステーションおおや,埼玉県さいたま市大宮区堀の内町2-238-2
ウイズネット訪問看護ステーションさいたま,埼玉県さいたま市大宮区三橋２－７９４－２
訪問看護ステーション　デューン大宮,埼玉県さいたま市大宮区大成町1-189-1　ADO大成ビル201号
ケアーズ訪問看護リハビリステーション大宮大成,埼玉県さいたま市大宮区大成町1丁目481浅見ビル201号室
訪問看護　かえりえ　大宮,埼玉県さいたま市中央区本町東2-2-42階
ひさご訪問看護リハビリステーション,埼玉県さいたま市大宮区浅間町1-85-5
愛ステップ大宮訪問看護ステーション,埼玉県さいたま市大宮区桜木町四丁目708渋谷ビル2階
訪問看護ステーション　デューン大宮東,埼玉県さいたま市大宮区大門町1-63　栗橋ビル　5FB
社会福祉法人　育成会　白菊苑,埼玉県さいたま市大宮区天沼町１－１５０－１
三橋ケアセンター　そよ風,埼玉県さいたま市大宮区三橋１丁目８７１
ニチイケアセンター　大宮桜木町,埼玉県さいたま市大宮区桜木町４－５２８
デイサービスセンター　ドゥライフ大宮,埼玉県さいたま市大宮区堀の内町２丁目２００番地の１
デイサービスセンターはるぱてお,埼玉県さいたま市大宮区上小町１１８７　
デイサービスセンターしあわせ三橋,埼玉県さいたま市大宮区三橋1-564
デイサービスセンターケアサポートおおみや,埼玉県さいたま市大宮区天沼町1-250-1
でいとれセンター　ひばり　堀の内,埼玉県さいたま市大宮区堀の内町1-6061階
でいとれセンターひばり上小町,埼玉県さいたま市大宮区上小町447-4
でいとれセンター　ひばり　大宮公園,埼玉県さいたま市大宮区寿能町1-8-1大宮パークサイド1F
パナソニック　エイジフリーケアセンター大宮三橋・デイサービス,埼玉県さいたま市大宮区三橋１丁目３４５番地１
コンパスウォーク大成,埼玉県さいたま市大宮区大成町3丁目520番1号
多機能型事業所来楽大宮,埼玉県さいたま市大宮区大成町3-404-1LHビル2階
医療法人明浩会　西大宮病院デイケア,埼玉県さいたま市大宮区三橋１丁目１１７３番地
三橋ケアセンターそよ風,埼玉県さいたま市大宮区三橋１－８７１
白菊苑,埼玉県さいたま市大宮区天沼町１－１５４－１
はるぱてお短期入所生活介護事業所,埼玉県さいたま市大宮区上小町１１８７
ショートステイケアサポートおおみや,埼玉県さいたま市大宮区天沼町１－２５０－１
特別養護老人ホーム　大宮諏訪の苑,埼玉県さいたま市大宮区三橋４丁目８７５－２
パナソニック　エイジフリーケアセンター大宮三橋・ショートステイ,埼玉県さいたま市大宮区三橋１丁目３４５－１
大宮諏訪の苑　短期入所介護,埼玉県さいたま市大宮区三橋４－８７５－２
ライフコミューン大宮東,埼玉県さいたま市大宮区天沼町２丁目１５０－１
ベストライフ大宮,埼玉県さいたま市大宮区上小町１１５１－１
有料老人ホーム　サニーライフ　大宮,埼玉県さいたま市大宮区三橋１－５０７－２
そんぽの家　大宮,埼玉県さいたま市大宮区三橋２－５６１－１
アンサンブル大宮,埼玉県さいたま市大宮区上小町９６０－５　
メディカル・リハビリホームまどか大宮,埼玉県さいたま市大宮区浅間町２－１８３
介護付有料老人ホーム　みんなの家・新都心,埼玉県さいたま市大宮区上小町1440-2
有料老人ホーム　大宮やわらぎ苑,埼玉県さいたま市大宮区上小町464
イリーゼ大宮櫛引,埼玉県さいたま市大宮区櫛引町1-127-1
ピュアリーフ大宮,埼玉県さいたま市大宮区三橋2丁目673-1
ニチイホーム　さいたま新都心,埼玉県さいたま市大宮区吉敷町4丁目255番1
介護付有料老人ホーム　みんなの家・三橋４丁目,埼玉県さいたま市大宮区三橋四丁目59番地１
ホームステーションらいふ大宮,埼玉県さいたま市大宮区浅間町１丁目１８１
株式会社ヤマシタコーポレーション　埼玉営業所,埼玉県さいたま市大宮区桜木町４－６８６
有限会社ナックス,埼玉県さいたま市大宮区天沼町2-1259-7
株式会社　昇運　さいたま店,埼玉県さいたま市大宮区三橋1-212-6
シルバーはあと 大宮,埼玉県さいたま市大宮区浅間町一丁目１４９番地大泉ビル１階
コンパス福祉用具,埼玉県さいたま市大宮区桜木町４－７８３－４
ＳＯＭＰＯケア　埼玉　福祉用具,埼玉県さいたま市大宮区東町1-198サイトウビル102
はすみ介護相談室,埼玉県さいたま市大宮区大門町３－１０８－８
指定居宅介護支援事業所  双愛,埼玉県さいたま市大宮区堀の内町2-238-2
居宅介護支援事業所　ひなたぼっこ,埼玉県さいたま市大宮区東町2-251
医療法人　明浩会　西大宮病院介護支援事業所,埼玉県さいたま市大宮区三橋１丁目１１７３番地
居宅介護支援事業所春陽苑　桜木支所,埼玉県さいたま市大宮区大成町2-397-3
けあビジョン大宮,埼玉県さいたま市大宮区大成町3-455-102
居宅介護支援事業所　はるぱてお,埼玉県さいたま市大宮区上小町１１８４番地
ケアサポートおおみや居宅介護支援事業所,埼玉県さいたま市大宮区天沼町1-250-1
居宅介護支援事業所「さくら」,埼玉県さいたま市大宮区桜木町4-627-2伊田グループビル2階
愛希　居宅介護支援事業所大宮,埼玉県さいたま市大宮区櫛引町1-824-1
ミッドフィールド　居宅介護支援事業所,埼玉県さいたま市大宮区宮町4-84
ケアプラン　アトリエ,埼玉県さいたま市大宮区上小町175番地
居宅介護支援事業所しあわせ三橋,埼玉県さいたま市大宮区三橋1-564
大宮諏訪の苑　居宅介護支援事業所,埼玉県さいたま市大宮区三橋４丁目８７５－２
けあさぽーと　かず,埼玉県さいたま市大宮区下町１丁目３８番地
ファンティック介護保険相談所,埼玉県さいたま市大宮区堀の内町1-475-3コーポ９３－２０１
パナソニック　エイジフリーケアセンター大宮三橋・ケアマネジメント,埼玉県さいたま市大宮区三橋１丁目３４５－１
ソーシャルサポート　それいゆ,埼玉県さいたま市大宮区浅間町2-4-1エクシード大宮　301号室
亀春居宅介護支援事業所,埼玉県さいたま市大宮区三橋4-333-1
ＳＯＭＰＯケア　さいたま大宮西　居宅介護支援,埼玉県さいたま市大宮区桜木町4-702-1秀宝ビル4階
社会福祉法人　育成会　白菊苑,埼玉県さいたま市大宮区天沼町１－１５４－１
特別養護老人ホーム　はるぱてお,埼玉県さいたま市大宮区上小町１１８７番地
株式会社ヤマシタコーポレーション埼玉営業所,埼玉県さいたま市大宮区桜木町４－６８６
諏訪の苑　訪問介護センター,埼玉県さいたま市見沼区南中野２９
センチュリーシティ大宮公園,埼玉県さいたま市見沼区大和田町１－１２７５
敬寿園　ホームヘルパーステーション,埼玉県さいたま市見沼区片柳１２９８番地
ハピネスケア株式会社  大宮ヘルパーステーション,埼玉県さいたま市見沼区中川906-13
ホームヘルパーさくら,埼玉県さいたま市見沼区丸ケ崎１２２０
ふじ介護サービス大宮センター,埼玉県さいたま市見沼区南中丸７８２－１６
ABC　ウエルケア,埼玉県さいたま市見沼区東大宮７－９－１４イーストハイツ1階１号室
訪問介護ステーション　見沼緑水苑,埼玉県さいたま市見沼区大和田町2丁目1260トヤマビル301号
長寿サポーター　ひろか,埼玉県さいたま市見沼区膝子785-4
ウイズネットホームヘルプサービス　七里,埼玉県さいたま市見沼区春岡１－２３－５
マスヤ介護サービス,埼玉県さいたま市見沼区東門前65-2-11
夢工房　結愛の森,埼玉県さいたま市見沼区島町９３７
ホームヘルパーステーション　ハートランド東大宮,埼玉県さいたま市見沼区春野２－９－２２
学研ＦＳ　ココファンはすぬまＨＣ,埼玉県さいたま市見沼区蓮沼２６９－２
ライフサポート輝　有限会社,埼玉県さいたま市見沼区南中丸７４３－１９
モトヤス　深作,埼玉県さいたま市見沼区春岡2-8-6
アールスタッフ大宮ケアサービス,埼玉県さいたま市見沼区東大宮5-49-11フラット東大宮101
訪問介護事業所　スコール,埼玉県さいたま市見沼区東大宮3-14-68ソレイユ大宮301
